atom_count,case_id,certificate_bytes,checker_kernel_ms,claim,coefficient_sum_bits,digest_match,generation_ms,max_coefficient_bits,oracle_calls,repetition,strict_margin,trust_level
2,timing_binary_negative_p2,1551,0.351186,nonnegative_weight_unsupported,2,True,0.762863,1,2,17,1/1,P1_FULLY_CHECKABLE
2,timing_binary_negative_p2,1551,0.339529,nonnegative_weight_unsupported,2,True,0.757454,1,2,18,1/1,P1_FULLY_CHECKABLE
2,timing_binary_negative_p2,1551,0.340481,nonnegative_weight_unsupported,2,True,0.755482,1,2,19,1/1,P1_FULLY_CHECKABLE
2,timing_binary_negative_p2,1551,0.338587,nonnegative_weight_unsupported,2,True,0.756023,1,2,20,1/1,P1_FULLY_CHECKABLE
2,timing_binary_negative_p2,1551,0.334241,nonnegative_weight_unsupported,2,True,0.756634,1,2,21,1/1,P1_FULLY_CHECKABLE
2,timing_binary_negative_p2,1551,0.336464,nonnegative_weight_unsupported,2,True,0.745387,1,2,22,1/1,P1_FULLY_CHECKABLE
2,timing_binary_negative_p2,1551,0.349764,nonnegative_weight_unsupported,2,True,0.739187,1,2,23,1/1,P1_FULLY_CHECKABLE
2,timing_binary_negative_p2,1551,0.349343,nonnegative_weight_unsupported,2,True,0.761831,1,2,24,1/1,P1_FULLY_CHECKABLE
2,timing_binary_negative_p2,1551,0.338908,nonnegative_weight_unsupported,2,True,0.754591,1,2,25,1/1,P1_FULLY_CHECKABLE
2,timing_binary_negative_p2,1551,0.334391,nonnegative_weight_unsupported,2,True,0.742483,1,2,26,1/1,P1_FULLY_CHECKABLE
2,timing_binary_negative_p2,1551,0.334321,nonnegative_weight_unsupported,2,True,0.766117,1,2,27,1/1,P1_FULLY_CHECKABLE
2,timing_binary_negative_p2,1551,0.333589,nonnegative_weight_unsupported,2,True,0.745517,1,2,28,1/1,P1_FULLY_CHECKABLE
2,timing_binary_negative_p2,1551,0.345938,nonnegative_weight_unsupported,2,True,0.736723,1,2,29,1/1,P1_FULLY_CHECKABLE
2,timing_binary_negative_p2,1551,0.367561,nonnegative_weight_unsupported,2,True,0.745176,1,2,30,1/1,P1_FULLY_CHECKABLE
0,timing_narrow_interval_q1000000,1499,0.519088,positive_weight_supportable,0,True,0.630594,0,3,1,,P1_FULLY_CHECKABLE
0,timing_narrow_interval_q1000000,1499,0.405767,positive_weight_supportable,0,True,0.699217,0,3,2,,P1_FULLY_CHECKABLE
0,timing_narrow_interval_q1000000,1499,0.402543,positive_weight_supportable,0,True,0.622953,0,3,3,,P1_FULLY_CHECKABLE
0,timing_narrow_interval_q1000000,1499,0.376293,positive_weight_supportable,0,True,0.612508,0,3,4,,P1_FULLY_CHECKABLE
0,timing_narrow_interval_q1000000,1499,0.4071,positive_weight_supportable,0,True,0.600119,0,3,5,,P1_FULLY_CHECKABLE
0,timing_narrow_interval_q1000000,1499,0.383044,positive_weight_supportable,0,True,0.633189,0,3,6,,P1_FULLY_CHECKABLE
0,timing_narrow_interval_q1000000,1499,0.4604,positive_weight_supportable,0,True,0.587531,0,3,7,,P1_FULLY_CHECKABLE
0,timing_narrow_interval_q1000000,1499,1.760647,positive_weight_supportable,0,True,0.672418,0,3,8,,P1_FULLY_CHECKABLE
0,timing_narrow_interval_q1000000,1499,0.612352,positive_weight_supportable,0,True,0.664686,0,3,9,,P1_FULLY_CHECKABLE
0,timing_narrow_interval_q1000000,1499,0.438928,positive_weight_supportable,0,True,0.633208,0,3,10,,P1_FULLY_CHECKABLE
0,timing_narrow_interval_q1000000,1499,0.351276,positive_weight_supportable,0,True,0.596263,0,3,11,,P1_FULLY_CHECKABLE
0,timing_narrow_interval_q1000000,1499,0.387281,positive_weight_supportable,0,True,0.571747,0,3,12,,P1_FULLY_CHECKABLE
0,timing_narrow_interval_q1000000,1499,0.643268,positive_weight_supportable,0,True,0.581,0,3,13,,P1_FULLY_CHECKABLE
0,timing_narrow_interval_q1000000,1499,0.618322,positive_weight_supportable,0,True,0.630935,0,3,14,,P1_FULLY_CHECKABLE
0,timing_narrow_interval_q1000000,1499,0.476704,positive_weight_supportable,0,True,0.709052,0,3,15,,P1_FULLY_CHECKABLE
0,timing_narrow_interval_q1000000,1499,0.399578,positive_weight_supportable,0,True,0.610535,0,3,16,,P1_FULLY_CHECKABLE
0,timing_narrow_interval_q1000000,1499,0.422603,positive_weight_supportable,0,True,0.58093,0,3,17,,P1_FULLY_CHECKABLE
0,timing_narrow_interval_q1000000,1499,0.425627,positive_weight_supportable,0,True,0.585637,0,3,18,,P1_FULLY_CHECKABLE
0,timing_narrow_interval_q1000000,1499,0.38017,positive_weight_supportable,0,True,0.58731,0,3,19,,P1_FULLY_CHECKABLE
0,timing_narrow_interval_q1000000,1499,0.380049,positive_weight_supportable,0,True,0.618527,0,3,20,,P1_FULLY_CHECKABLE
0,timing_narrow_interval_q1000000,1499,0.406038,positive_weight_supportable,0,True,0.588942,0,3,21,,P1_FULLY_CHECKABLE
